ID	Target	Untarget
MTBLS1	0	1
MTBLS100	0	1
MTBLS102	0	1
MTBLS103	1	1
MTBLS104	0	1
MTBLS114	0	1
MTBLS115	0	1
MTBLS116	0	1
MTBLS123	1	0
MTBLS131	1	0
MTBLS132	1	0
MTBLS133	1	0
MTBLS134	1	0
MTBLS147	1	0
MTBLS149	0	1
MTBLS151	0	1
MTBLS156	0	1
MTBLS161	0	1
MTBLS166	0	1
MTBLS172	0	1
MTBLS174	0	1
MTBLS177	1	0
MTBLS189	0	1
MTBLS200	0	1
MTBLS230	0	1
MTBLS237	0	1
MTBLS24	0	1
MTBLS240	0	1
MTBLS242	0	1
MTBLS247	0	1
MTBLS249	1	0
MTBLS25	1	0
MTBLS256	0	1
MTBLS261	1	0
MTBLS275	0	1
MTBLS326	0	1
MTBLS331	1	0
MTBLS336	0	1
MTBLS337	0	1
MTBLS340	0	1
MTBLS342	0	1
MTBLS346	0	1
MTBLS349	0	1
MTBLS356	0	1
MTBLS361	1	0
MTBLS367	1	0
MTBLS374	0	1
MTBLS382	0	1
MTBLS386	0	1
MTBLS387	1	1
MTBLS395	1	0
MTBLS399	0	1
MTBLS400	0	1
MTBLS419	1	0
MTBLS422	0	1
MTBLS424	1	0
MTBLS425	0	1
MTBLS430	0	1
MTBLS431	0	1
MTBLS444	0	1
MTBLS453	0	1
MTBLS455	0	1
MTBLS46	0	1
MTBLS463	0	1
MTBLS48	0	1
MTBLS516	0	1
MTBLS524	0	1
MTBLS539	1	1
MTBLS540	0	1
MTBLS541	0	1
MTBLS543	0	1
MTBLS56	0	1
MTBLS560	0	1
MTBLS564	0	1
MTBLS576	0	1
MTBLS602	0	1
MTBLS619	0	1
MTBLS622	0	1
MTBLS626	0	1
MTBLS640	1	0
MTBLS643	0	1
MTBLS654	1	0
MTBLS658	0	1
MTBLS667	0	1
MTBLS669	0	1
MTBLS675	0	1
MTBLS694	0	1
MTBLS720	0	1
MTBLS723	0	1
MTBLS761	0	1
MTBLS77	0	1
MTBLS869	0	1
