ID	Target	Untarget
MTBLS105	1	1
MTBLS11	0	1
MTBLS112	1	0
MTBLS113	0	1
MTBLS118	0	1
MTBLS12	0	1
MTBLS13	0	1
MTBLS14	0	1
MTBLS15	0	1
MTBLS150	0	1
MTBLS152	0	1
MTBLS16	0	1
MTBLS170	0	1
MTBLS171	0	1
MTBLS175	1	1
MTBLS187	1	1
MTBLS191	0	1
MTBLS196	0	1
MTBLS200	0	1
MTBLS208	0	1
MTBLS215	1	0
MTBLS219	0	1
MTBLS22	0	1
MTBLS226	0	1
MTBLS23	0	1
MTBLS283	0	1
MTBLS288	0	1
MTBLS298	0	1
MTBLS3	1	0
MTBLS309	1	0
MTBLS311	1	0
MTBLS312	1	1
MTBLS315	0	1
MTBLS319	0	1
MTBLS320	0	1
MTBLS321	0	1
MTBLS328	0	1
MTBLS332	0	1
MTBLS338	0	1
MTBLS341	0	1
MTBLS345	0	1
MTBLS35	0	1
MTBLS350	0	1
MTBLS355	1	1
MTBLS363	0	1
MTBLS37	0	1
MTBLS370	1	1
MTBLS390	1	0
MTBLS392	0	1
MTBLS393	0	1
MTBLS40	0	1
MTBLS41	0	1
MTBLS411	0	1
MTBLS412	1	0
MTBLS42	0	1
MTBLS420	0	1
MTBLS43	0	1
MTBLS437	0	1
MTBLS44	0	1
MTBLS447	0	1
MTBLS45	0	1
MTBLS457	0	1
MTBLS47	0	1
MTBLS481	0	1
MTBLS497	0	1
MTBLS5	0	1
MTBLS519	0	1
MTBLS522	0	1
MTBLS526	0	1
MTBLS527	0	1
MTBLS532	0	1
MTBLS535	1	1
MTBLS538	0	1
MTBLS54	0	1
MTBLS545	0	1
MTBLS546	1	0
MTBLS552	1	1
MTBLS579	0	1
MTBLS634	0	1
MTBLS66	1	1
MTBLS672	0	1
MTBLS687	0	1
MTBLS699	0	1
MTBLS7	0	1
MTBLS71	0	1
MTBLS724	0	1
MTBLS75	0	1
MTBLS763	0	1
MTBLS767	0	1
MTBLS789	0	1
MTBLS8	0	1
MTBLS803	0	1
MTBLS826	0	1
MTBLS839	0	1
MTBLS843	0	1
MTBLS844	0	1
MTBLS848	0	1
MTBLS849	0	1
MTBLS95	0	1
MTBLS96	0	1
